State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,18168,65100000
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,18190,64430000
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,18240,67490000
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,18284.74,68580000
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,18394.7,52380000
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Coconut ,13876.57,52030000
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Coconut ,14358,59370000
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Coconut ,14560,71300000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Coconut ,6992,23900000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Coconut ,7015,25250000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Coconut ,3575,15400000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Coconut ,3668,12700000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Coconut ,7060,26830000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Coconut ,7110,26660000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Coconut ,7156.7,34750000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Coconut ,7050.45,26430000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Coconut ,3483.09,14190000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Coconut ,3540,11000000
Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Coconut ,908,3896970
Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Coconut ,851,3053700
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,Coconut ,869,3691149
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Coconut ,839,3285828
Andhra Pradesh,ANANTAPUR,2004,Whole Year ,Coconut ,837,6413350
Andhra Pradesh,ANANTAPUR,2005,Whole Year ,Coconut ,836,3358992
Andhra Pradesh,ANANTAPUR,2006,Whole Year ,Coconut ,790,6404076
Andhra Pradesh,ANANTAPUR,2008,Whole Year ,Coconut ,786,7141464
Andhra Pradesh,ANANTAPUR,2009,Whole Year ,Coconut ,725,4247685
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Coconut ,895,7165320
Andhra Pradesh,ANANTAPUR,2012,Whole Year ,Coconut ,646,5571000
Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Coconut ,552,3969000
Andhra Pradesh,ANANTAPUR,2014,Whole Year ,Coconut ,687,5756000
Andhra Pradesh,CHITTOOR,2000,Whole Year ,Coconut ,4011,17215660
Andhra Pradesh,CHITTOOR,2001,Whole Year ,Coconut ,4133,14827800
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Coconut ,4296,17209269
Andhra Pradesh,CHITTOOR,2003,Whole Year ,Coconut ,4294,16827552
Andhra Pradesh,CHITTOOR,2004,Whole Year ,Coconut ,4165,31934060
